Frame, Time (ms), Delta (ms) , Memory (mb)
    1, 0.000, 0.000,2607
    2,641.008,641.008,3309
    3,714.352,73.344,3309
    4,730.312,15.960,3309
    5,775.431,45.119,3308
    6,815.277,39.846,3301
    7,873.172,57.895,3301
    8,925.607,52.435,3301
    9,978.657,53.050,3301
   10,1034.556,55.899,3301
   11,1092.922,58.366,3301
   12,1145.464,52.542,3301
   13,1200.257,54.793,3301
   14,1256.548,56.291,3301
   15,1311.929,55.381,3301
   16,1367.246,55.317,3301
   17,1423.626,56.380,3301
   18,1479.677,56.051,3301
   19,1535.323,55.646,3301
   20,1591.471,56.148,3301
   21,1667.904,76.433,3301
   22,1702.186,34.282,3301
   23,1759.312,57.126,3305
   24,1813.146,53.834,3305
   25,1868.615,55.469,3305
   26,1924.004,55.389,3305
   27,1979.395,55.391,3305
   28,2035.999,56.604,3305
   29,2091.145,55.146,3305
   30,2169.837,78.692,3305
   31,2224.601,54.764,3305
   32,2280.132,55.531,3305
   33,2335.296,55.164,3305
   34,2393.884,58.588,3305
   35,2448.446,54.562,3305
   36,2501.537,53.091,3305
   37,2555.748,54.211,3305
   38,2611.348,55.600,3305
   39,2665.648,54.300,3307
   40,2721.701,56.053,3307
   41,2776.484,54.783,3307
   42,2831.110,54.626,3307
   43,2885.165,54.055,3307
   44,2940.803,55.638,3307
   45,3007.193,66.390,3307
   46,3055.567,48.374,3307
   47,3103.721,48.154,3307
   48,3158.669,54.948,3307
   49,3212.976,54.307,3307
   50,3267.499,54.523,3307
   51,3321.427,53.928,3307
   52,3375.978,54.551,3305
   53,3429.944,53.966,3298
   54,3484.331,54.387,3298
   55,3537.491,53.160,3298
   56,3624.311,86.820,3298
   57,3664.112,39.801,3298
   58,3700.314,36.202,3298
   59,3753.578,53.264,3298
   60,3808.730,55.152,3296
   61,3862.131,53.401,3296
   62,3915.988,53.857,3296
   63,3969.160,53.172,3296
   64,4022.869,53.709,3296
   65,4075.937,53.068,3296
   66,4129.933,53.996,3296
   67,4183.419,53.486,3295
   68,4237.877,54.458,3295
   69,4291.555,53.678,3295
   70,4345.831,54.276,3295
   71,4399.033,53.202,3295
   72,4453.384,54.351,3293
   73,4506.994,53.610,3293
   74,4565.598,58.604,3293
   75,4613.979,48.381,3293
   76,4668.012,54.033,3293
   77,4722.532,54.520,3293
   78,4774.634,52.102,3293
   79,4826.956,52.322,3293
   80,4879.987,53.031,3293
   81,4932.325,52.338,3293
   82,4985.583,53.258,3293
   83,5036.962,51.379,3293
   84,5089.681,52.719,3293
   85,5141.466,51.785,3291
   86,5194.116,52.650,3290
   87,5245.381,51.265,3290
   88,5298.124,52.743,3290
   89,5350.178,52.054,3290
   90,5402.862,52.684,3290
   91,5480.948,78.086,3290
   92,5508.597,27.649,3290
   93,5559.646,51.049,3290
   94,5612.585,52.939,3290
   95,5664.521,51.935,3290
   96,5716.940,52.420,3290
   97,5769.280,52.340,3290
   98,5822.000,52.719,3290
   99,5903.792,81.793,3290
  100,5929.263,25.471,3290
  101,5979.033,49.770,3290
  102,6031.528,52.495,3290
  103,6083.616,52.088,3290
  104,6135.819,52.203,3290
  105,6187.796,51.977,3290
  106,6244.307,56.511,3290
  107,6292.782,48.475,3290
  108,6345.361,52.579,3290
  109,6397.034,51.673,3290
  110,6449.160,52.126,3289
  111,6500.150,50.990,3289
  112,6551.937,51.786,3289
  113,6603.507,51.571,3289
  114,6655.882,52.375,3289
  115,6707.481,51.599,3289
  116,6758.527,51.046,3287
  117,6809.281,50.754,3287
  118,6889.233,79.952,3287
  119,6913.467,24.234,3287
  120,6963.029,49.562,3287
  121,7013.842,50.813,3287
  122,7065.479,51.637,3286
